property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,9000.0,35000.0,Plot area 1000(836.13 sq.m.),7,9,3+,3.0,North-East,Moderately Old,,9000.0,,1,1,1,1,0,0,74,1285.7142857142858
flat,prasha apartments,manesar,0.75,2267.0,3308.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Moderately Old,2115.0,,,0,1,0,0,0,2,31,755.6666666666666
house,independent,sector 4,1.25,1440.0,8681.0,Built Up area: 160 (14.86 sq.m.),2,3,,1.0,not available,Undefined,,160.0,,0,0,0,0,0,2,0,720.0
house,ansals palam vihar,sector 2,4.0,2400.0,16667.0,Plot area 2400(222.97 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,2400.0,,0,1,0,0,0,2,0,600.0
flat,eden landmark,manesar,0.5,1300.0,3846.0,Built Up area: 1300 (120.77 sq.m.),2,2,0,7.0,,Under Construction,,1300.0,,0,0,0,0,0,2,0,650.0
flat,vipul lavanya,sector 81,1.0,1250.0,8000.0,Super Built up area 1250(116.13 sq.m.),2,2,2,7.0,,Relatively New,1250.0,,,0,0,0,0,0,2,31,625.0
flat,sare green parc phase 3,sector 92,0.95,1956.0,4857.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,Moderately Old,1956.0,,,0,0,0,0,0,2,67,489.0
flat,paras dews,sector 106,1.2,1034.0,11605.0,Super Built up area 1665(154.68 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,3,3,12.0,North-West,Relatively New,1665.0,1145.0,1034.0,1,0,0,0,0,2,158,344.6666666666667
flat,dlf regal gardens,sector 90,1.13,1700.0,6647.0,Super Built up area 1730(160.72 sq.m.),3,3,3+,8.0,North,Relatively New,1730.0,,,0,0,0,0,1,2,72,566.6666666666666
flat,ats triumph,sector 104,2.62,3150.0,8317.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,14.0,North,Relatively New,3150.0,,,0,1,0,0,0,2,174,787.5
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,915.0,10601.0,Super Built up area 915(85.01 sq.m.),2,2,2,12.0,East,Relatively New,915.0,,,0,0,0,0,0,2,100,457.5
house,independent,sector 17,9.5,4050.0,23457.0,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 450 sq.yards (376.26 sq.m.),8,8,3,3.0,West,Relatively New,,500.0,450.0,1,0,0,0,0,1,27,506.25
